image,display_location,observation_location,estimated,latitude,longitude,observation_time_rfc822,observation_epoch,local_time_rfc822,local_epoch,local_tz_short,local_tz_long,local_tz_offset,weather,temperature_string,temp_f,temp_c,relative_humidity,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,wind_kph,wind_gust_kph,pressure_mb,pressure_in,pressure_trend,dewpoint_string,dewpoint_f,dewpoint_c,heat_index_string,heat_index_f,heat_index_c,windchill_string,windchill_f,windchill_c,feelslike_string,feelslike_f,feelslike_c,visibility_mi,visibility_km,solarradiation,UV,precip_1hr_string,precip_1hr_in,precip_1hr_metric,precip_today_string,precip_today_in,precip_today_metric,icon,icon_url,forecast_url,history_url,ob_url,nowcast
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 10:59:52 -0400",1499439592,"Fri, 07 Jul 2017 10:59:55 -0400",1499439595,EDT,America/New_York,-0400,Overcast,71.1 F (21.7 C),71.1,21.7,36%,Calm,NE,41,0.4,2.5,0,4.0,1011,29.86,-,43 F (6 C),43,6,NA,NA,NA,NA,NA,NA,71.1 F (21.7 C),71.1,21.7,10.0,16.1,147,1.0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 11:59:37 -0400",1499443177,"Fri, 07 Jul 2017 11:59:54 -0400",1499443194,EDT,America/New_York,-0400,Rain,69.4 F (20.8 C),69.4,20.8,54%,Calm,SSE,147,0.2,2.5,0,4.0,1011,29.86,0,52 F (11 C),52,11,NA,NA,NA,NA,NA,NA,69.4 F (20.8 C),69.4,20.8,3.0,4.8,158,1.0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 12:59:33 -0400",1499446773,"Fri, 07 Jul 2017 12:59:53 -0400",1499446793,EDT,America/New_York,-0400,Rain,68.9 F (20.5 C),68.9,20.5,94%,Calm,North,1,0.0,0,0,0,1010,29.83,0,67 F (20 C),67,20,NA,NA,NA,NA,NA,NA,68.9 F (20.5 C),68.9,20.5,0.5,0.8,93,1.0,0.00 in ( 0 mm),0.00, 0,0.05 in (1 mm),0.05,1,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 13:59:49 -0400",1499450389,"Fri, 07 Jul 2017 13:59:55 -0400",1499450395,EDT,America/New_York,-0400,Rain,68.5 F (20.3 C),68.5,20.3,95%,Calm,NW,324,0.0,0,0,0,1010,29.82,0,67 F (20 C),67,20,NA,NA,NA,NA,NA,NA,68.5 F (20.3 C),68.5,20.3,4.0,6.4,174,1.0,0.07 in ( 2 mm),0.07, 2,0.18 in (5 mm),0.18,5,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 14:59:52 -0400",1499453992,"Fri, 07 Jul 2017 14:59:54 -0400",1499453994,EDT,America/New_York,-0400,Rain,66.9 F (19.4 C),66.9,19.4,94%,From the East at 3.6 MPH Gusting to 4.9 MPH,East,94,3.6,4.9,5.8,7.9,1009,29.79,-,65 F (18 C),65,18,NA,NA,NA,NA,NA,NA,66.9 F (19.4 C),66.9,19.4,4.0,6.4,117,1.0,0.07 in ( 2 mm),0.07, 2,0.25 in (6 mm),0.25,6,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 15:59:49 -0400",1499457589,"Fri, 07 Jul 2017 15:59:55 -0400",1499457595,EDT,America/New_York,-0400,Rain,65.7 F (18.7 C),65.7,18.7,96%,From the East at 1.8 MPH Gusting to 2.5 MPH,East,99,1.8,2.5,2.9,4.0,1008,29.77,-,65 F (18 C),65,18,NA,NA,NA,NA,NA,NA,65.7 F (18.7 C),65.7,18.7,8.0,12.9,94,1.0,0.21 in ( 5 mm),0.21, 5,0.45 in (11 mm),0.45,11,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 16:59:49 -0400",1499461189,"Fri, 07 Jul 2017 16:59:56 -0400",1499461196,EDT,America/New_York,-0400,Rain,63.9 F (17.7 C),63.9,17.7,95%,From the NNE at 4.0 MPH Gusting to 4.9 MPH,NNE,20,4.0,4.9,6.4,7.9,1006,29.72,-,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,63.9 F (17.7 C),63.9,17.7,2.5,4.0,84,1.0,0.14 in ( 4 mm),0.14, 4,0.69 in (18 mm),0.69,18,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 17:59:50 -0400",1499464790,"Fri, 07 Jul 2017 17:59:54 -0400",1499464794,EDT,America/New_York,-0400,Overcast,64.4 F (18.0 C),64.4,18.0,95%,From the NE at 9.2 MPH Gusting to 9.8 MPH,NE,45,9.2,9.8,14.8,15.8,1006,29.72,-,63 F (17 C),63,17,NA,NA,NA,NA,NA,NA,64.4 F (18.0 C),64.4,18.0,7.0,11.3,189,1.0,0.00 in ( 0 mm),0.00, 0,0.72 in (18 mm),0.72,18,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 18:59:52 -0400",1499468392,"Fri, 07 Jul 2017 18:59:54 -0400",1499468394,EDT,America/New_York,-0400,Overcast,65.1 F (18.4 C),65.1,18.4,95%,From the NNW at 2.9 MPH Gusting to 4.9 MPH,NNW,346,2.9,4.9,4.7,7.9,1006,29.72,-,64 F (18 C),64,18,NA,NA,NA,NA,NA,NA,65.1 F (18.4 C),65.1,18.4,10.0,16.1,79,1.0,0.00 in ( 0 mm),0.00, 0,0.72 in (18 mm),0.72,18,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 19:59:49 -0400",1499471989,"Fri, 07 Jul 2017 19:59:58 -0400",1499471998,EDT,America/New_York,-0400,Overcast,64.9 F (18.3 C),64.9,18.3,95%,Calm,NNW,348,0.9,2.5,1.4,4.0,1006,29.72,0,64 F (18 C),64,18,NA,NA,NA,NA,NA,NA,64.9 F (18.3 C),64.9,18.3,10.0,16.1,5,0.0,0.00 in ( 0 mm),0.00, 0,0.72 in (18 mm),0.72,18,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Malden, MA', 'city': 'Malden', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02148', 'magic': '1', 'wmo': '99999', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '5.2'}","{'full': ""Maplewood Sq @ MCC's, Malden, Massachusetts"", 'city': ""Maplewood Sq @ MCC's, Malden"", 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.435493', 'longitude': '-71.038391', 'elevation': '46 ft'}",{},42.435493,-71.038391,"Fri, 07 Jul 2017 20:59:50 -0400",1499475590,"Fri, 07 Jul 2017 20:59:54 -0400",1499475594,EDT,America/New_York,-0400,Overcast,64.2 F (17.9 C),64.2,17.9,94%,Calm,North,4,0.9,2.5,1.4,4.0,1006,29.72,0,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,64.2 F (17.9 C),64.2,17.9,10.0,16.1,0,0.0,0.00 in ( 0 mm),0.00, 0,0.72 in (18 mm),0.72,18,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Malden.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMALDE6,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.435493,-71.038391",
