image,display_location,observation_location,estimated,latitude,longitude,observation_time_rfc822,observation_epoch,local_time_rfc822,local_epoch,local_tz_short,local_tz_long,local_tz_offset,weather,temperature_string,temp_f,temp_c,relative_humidity,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,wind_kph,wind_gust_kph,pressure_mb,pressure_in,pressure_trend,dewpoint_string,dewpoint_f,dewpoint_c,heat_index_string,heat_index_f,heat_index_c,windchill_string,windchill_f,windchill_c,feelslike_string,feelslike_f,feelslike_c,visibility_mi,visibility_km,solarradiation,UV,precip_1hr_string,precip_1hr_in,precip_1hr_metric,precip_today_string,precip_today_in,precip_today_metric,icon,icon_url,forecast_url,history_url,ob_url,nowcast
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 10:59:50 -0400",1499439590,"Fri, 07 Jul 2017 10:59:53 -0400",1499439593,EDT,America/New_York,-0400,Overcast,73.9 F (23.3 C),73.9,23.3,65%,Calm,NNW,338,0.0,0,0,0,1011,29.86,-,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,73.9 F (23.3 C),73.9,23.3,10.0,16.1,--,3,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 11:59:27 -0400",1499443167,"Fri, 07 Jul 2017 11:59:52 -0400",1499443192,EDT,America/New_York,-0400,Rain,69.6 F (20.9 C),69.6,20.9,78%,From the ESE at 1.0 MPH,ESE,113,1.0,0,1.6,0,1011,29.86,0,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,69.6 F (20.9 C),69.6,20.9,3.0,4.8,--,3,0.02 in ( 1 mm),0.02, 1,0.02 in (1 mm),0.02,1,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 12:59:42 -0400",1499446782,"Fri, 07 Jul 2017 12:59:52 -0400",1499446792,EDT,America/New_York,-0400,Rain,67.6 F (19.8 C),67.6,19.8,85%,From the NNW at 7.0 MPH,NNW,338,7.0,0,11.3,0,1010,29.83,0,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,67.6 F (19.8 C),67.6,19.8,0.5,0.8,--,4,0.07 in ( 2 mm),0.07, 2,0.09 in (2 mm),0.09,2,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 13:59:19 -0400",1499450359,"Fri, 07 Jul 2017 13:59:52 -0400",1499450392,EDT,America/New_York,-0400,Rain,65.9 F (18.8 C),65.9,18.8,86%,From the East at 2.0 MPH,East,90,2.0,0,3.2,0,1010,29.82,0,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,65.9 F (18.8 C),65.9,18.8,4.0,6.4,--,3,0.10 in ( 3 mm),0.10, 3,0.18 in (5 mm),0.18,5,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 14:59:34 -0400",1499453974,"Fri, 07 Jul 2017 14:59:52 -0400",1499453992,EDT,America/New_York,-0400,Rain,64.8 F (18.2 C),64.8,18.2,85%,From the ESE at 3.0 MPH,ESE,113,3.0,0,4.8,0,1009,29.79,-,60 F (16 C),60,16,NA,NA,NA,NA,NA,NA,64.8 F (18.2 C),64.8,18.2,4.0,6.4,--,3,0.08 in ( 2 mm),0.08, 2,0.27 in (7 mm),0.27,7,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 15:59:47 -0400",1499457587,"Fri, 07 Jul 2017 15:59:52 -0400",1499457592,EDT,America/New_York,-0400,Rain,63.4 F (17.4 C),63.4,17.4,85%,From the ESE at 3.0 MPH,ESE,113,3.0,0,4.8,0,1008,29.77,-,58 F (14 C),58,14,NA,NA,NA,NA,NA,NA,63.4 F (17.4 C),63.4,17.4,8.0,12.9,--,2,0.03 in ( 1 mm),0.03, 1,0.30 in (8 mm),0.30,8,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 16:59:25 -0400",1499461165,"Fri, 07 Jul 2017 16:59:54 -0400",1499461194,EDT,America/New_York,-0400,Rain,61.5 F (16.4 C),61.5,16.4,88%,From the West at 3.0 MPH,West,270,3.0,0,4.8,0,1006,29.72,-,57 F (14 C),57,14,NA,NA,NA,NA,NA,NA,61.5 F (16.4 C),61.5,16.4,2.5,4.0,--,1,0.13 in ( 3 mm),0.13, 3,0.43 in (11 mm),0.43,11,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 17:59:38 -0400",1499464778,"Fri, 07 Jul 2017 17:59:52 -0400",1499464792,EDT,America/New_York,-0400,Overcast,62.5 F (16.9 C),62.5,16.9,86%,From the SSE at 1.0 MPH,SSE,158,1.0,0,1.6,0,1006,29.72,-,58 F (14 C),58,14,NA,NA,NA,NA,NA,NA,62.5 F (16.9 C),62.5,16.9,7.0,11.3,--,1,0.00 in ( 0 mm),0.00, 0,0.45 in (11 mm),0.45,11,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 18:58:57 -0400",1499468337,"Fri, 07 Jul 2017 18:59:52 -0400",1499468392,EDT,America/New_York,-0400,Overcast,63.9 F (17.7 C),63.9,17.7,86%,From the ESE at 4.0 MPH,ESE,113,4.0,0,6.4,0,1006,29.72,-,59 F (15 C),59,15,NA,NA,NA,NA,NA,NA,63.9 F (17.7 C),63.9,17.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.45 in (11 mm),0.45,11,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 19:59:30 -0400",1499471970,"Fri, 07 Jul 2017 19:59:54 -0400",1499471994,EDT,America/New_York,-0400,Overcast,63.9 F (17.7 C),63.9,17.7,85%,From the WSW at 3.0 MPH,WSW,248,3.0,0,4.8,0,1006,29.72,0,59 F (15 C),59,15,NA,NA,NA,NA,NA,NA,63.9 F (17.7 C),63.9,17.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.45 in (11 mm),0.45,11,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 20:59:44 -0400",1499475584,"Fri, 07 Jul 2017 20:59:52 -0400",1499475592,EDT,America/New_York,-0400,Overcast,64.1 F (17.8 C),64.1,17.8,83%,From the West at 4.0 MPH,West,270,4.0,0,6.4,0,1006,29.72,0,58 F (14 C),58,14,NA,NA,NA,NA,NA,NA,64.1 F (17.8 C),64.1,17.8,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.45 in (11 mm),0.45,11,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 21:59:41 -0400",1499479181,"Fri, 07 Jul 2017 21:59:52 -0400",1499479192,EDT,America/New_York,-0400,Overcast,63.9 F (17.7 C),63.9,17.7,81%,From the North at 2.0 MPH,North,0,2.0,0,3.2,0,1007,29.73,+,58 F (14 C),58,14,NA,NA,NA,NA,NA,NA,63.9 F (17.7 C),63.9,17.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.45 in (11 mm),0.45,11,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 22:59:36 -0400",1499482776,"Fri, 07 Jul 2017 22:59:51 -0400",1499482791,EDT,America/New_York,-0400,Overcast,64.4 F (18.0 C),64.4,18.0,80%,From the NNW at 3.0 MPH,NNW,338,3.0,0,4.8,0,1007,29.73,0,58 F (14 C),58,14,NA,NA,NA,NA,NA,NA,64.4 F (18.0 C),64.4,18.0,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.45 in (11 mm),0.45,11,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Fri, 07 Jul 2017 23:59:50 -0400",1499486390,"Fri, 07 Jul 2017 23:59:51 -0400",1499486391,EDT,America/New_York,-0400,Overcast,63.9 F (17.7 C),63.9,17.7,81%,From the NNW at 3.0 MPH,NNW,338,3.0,0,4.8,0,1007,29.73,0,58 F (14 C),58,14,NA,NA,NA,NA,NA,NA,63.9 F (17.7 C),63.9,17.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.45 in (11 mm),0.45,11,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Sat, 08 Jul 2017 00:59:27 -0400",1499489967,"Sat, 08 Jul 2017 00:59:51 -0400",1499489991,EDT,America/New_York,-0400,Overcast,63.6 F (17.6 C),63.6,17.6,85%,From the West at 2.0 MPH,West,270,2.0,0,3.2,0,1007,29.73,0,59 F (15 C),59,15,NA,NA,NA,NA,NA,NA,63.6 F (17.6 C),63.6,17.6,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Sat, 08 Jul 2017 01:59:41 -0400",1499493581,"Sat, 08 Jul 2017 01:59:51 -0400",1499493591,EDT,America/New_York,-0400,Mostly Cloudy,63.6 F (17.6 C),63.6,17.6,86%,Calm,WSW,248,0.0,0,0,0,1006,29.72,-,59 F (15 C),59,15,NA,NA,NA,NA,NA,NA,63.6 F (17.6 C),63.6,17.6,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,mostlycloudy,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Sat, 08 Jul 2017 02:59:18 -0400",1499497158,"Sat, 08 Jul 2017 02:59:52 -0400",1499497192,EDT,America/New_York,-0400,Partly Cloudy,63.2 F (17.3 C),63.2,17.3,88%,Calm,West,270,0.0,0,0,0,1006,29.73,0,59 F (15 C),59,15,NA,NA,NA,NA,NA,NA,63.2 F (17.3 C),63.2,17.3,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,partlycloudy,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Sat, 08 Jul 2017 03:59:31 -0400",1499500771,"Sat, 08 Jul 2017 03:59:52 -0400",1499500792,EDT,America/New_York,-0400,Mostly Cloudy,63.0 F (17.2 C),63.0,17.2,88%,From the SW at 1.0 MPH,SW,225,1.0,0,1.6,0,1006,29.72,-,59 F (15 C),59,15,NA,NA,NA,NA,NA,NA,63.0 F (17.2 C),63.0,17.2,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,mostlycloudy,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02125', 'magic': '1', 'wmo': '99999', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '29.9'}","{'full': 'Dorchester @ Climax, Boston, Massachusetts', 'city': 'Dorchester @ Climax, Boston', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.313976', 'longitude': '-71.062218', 'elevation': '118 ft'}",{},42.313976,-71.062218,"Sat, 08 Jul 2017 04:59:45 -0400",1499504385,"Sat, 08 Jul 2017 04:59:52 -0400",1499504392,EDT,America/New_York,-0400,Mostly Cloudy,62.7 F (17.1 C),62.7,17.1,90%,From the SSW at 2.0 MPH,SSW,203,2.0,0,3.2,0,1006,29.71,-,59 F (15 C),59,15,NA,NA,NA,NA,NA,NA,62.7 F (17.1 C),62.7,17.1,9.0,14.5,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,mostlycloudy,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO268,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.313976,-71.062218",
