LU,Parameter Name,Site_keys,ppm
"{'Commercial and Services': 0.58, 'Residential': 0.38, 'Forested wetland': 0.04}",PM2.5 - combined,[ 41.784722 -72.631667],0.013250321
{'Deciduous forest land': 1.0},PM2.5 - combined,[ 41.821342 -73.297257],0.005732735
"{'Streams and canals': 0.21084337349397592, 'Bays and estuaries': 0.08433734939759036, 'Transportation, communications and services': 0.463855421686747, 'Industrial': 0.24096385542168675}",PM2.5 - combined,[ 41.3014   -72.902871],0.013850396
"{'Commercial and Services': 0.06802721088435375, 'Residential': 0.6802721088435374, 'Orchards, groves, vineyards, nurseries..': 0.25170068027210885}",PM2.5 - Local Conditions,[  47.43061 -120.34195],0.0066487890000000004
"{'Commercial and Services': 0.05, 'Residential': 0.275, 'Other urban or built-up land': 0.165, 'Transportation, communications and services': 0.5, 'Cropland and pasture': 0.01}",PM2.5 - Local Conditions,[  45.64336 -122.58737],0.012142857000000002
"{'Commercial and Services': 0.3918918918918919, 'Residential': 0.12162162162162163, 'Transportation, communications and services': 0.4864864864864865}",PM2.5 - Local Conditions,[  47.597222 -122.319722],0.010028816
"{'Commercial and Services': 0.038461538461538464, 'Industrial': 0.9326923076923077, 'Transportation, communications and services': 0.028846153846153848}",PM2.5 - Local Conditions,[  47.55975  -122.338265],0.008640080000000001
"{'Commercial and Services': 0.051194539249146756, 'Residential': 0.3412969283276451, 'Other urban or built-up land': 0.21843003412969283, 'Reservoirs': 0.04778156996587031, 'Transportation, communications and services': 0.3412969283276451}",PM2.5 - Local Conditions,[  47.568236 -122.308628],0.006797180999999999
"{'Commercial and Services': 0.61, 'Residential': 0.31, 'Cropland and pasture': 0.08}",PM2.5 - Local Conditions,[  47.386111 -122.230278],0.007064671999999999
"{'Commercial and Services': 0.61, 'Residential': 0.39}",PM2.5 - Local Conditions,[  47.592675 -122.627397],0.0068103980000000005
"{'Commercial and Services': 0.43, 'Residential': 0.57}",PM2.5 - Local Conditions,[  46.99364 -120.545  ],0.005564773000000001
"{'Commercial and Services': 0.04, 'Residential': 0.19, 'Industrial': 0.44, 'Cropland and pasture': 0.28, 'Strip mines, quarries and gravel pits': 0.05}",PM2.5 - Local Conditions,[  48.39999 -119.51896],0.005283431000000001
"{'Commercial and Services': 0.03, 'Residential': 0.55, 'Transportation, communications and services': 0.42}",PM2.5 - Local Conditions,[  47.22634 -122.46256],0.00653388
"{'Commercial and Services': 0.08181818181818182, 'Residential': 0.9090909090909091, 'Mixed urban or built-up land': 0.00909090909090909}",PM2.5 - Local Conditions,[  47.1864 -122.4517],0.005438957500000001
"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}",PM2.5 - Local Conditions,[  48.52059 -122.61428],0.004195518
"{'Commercial and Services': 0.2549019607843137, 'Residential': 0.7450980392156863}",PM2.5 - Local Conditions,[  48.054315 -122.171529],0.007708805
"{'Commercial and Services': 0.2376237623762376, 'Residential': 0.6435643564356436, 'Transportation, communications and services': 0.039603960396039604, 'Transitional areas': 0.07920792079207921}",PM2.5 - Local Conditions,[  47.8064 -122.3167],0.007786141999999999
"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Evergreen forest land': 0.36}",PM2.5 - Local Conditions,[  48.2469 -121.6031],0.0039843840000000005
"{'Commercial and Services': 0.31, 'Residential': 0.35, 'Industrial': 0.34}",PM2.5 - Local Conditions,[  47.672482 -117.364852],0.0062725115
"{'Other urban or built-up land': 0.10714285714285714, 'Residential': 0.8214285714285714, 'Deciduous forest land': 0.044642857142857144, 'Mixed forest land': 0.026785714285714284}",PM2.5 - Local Conditions,[  48.76278 -122.44028],0.005686880000000001
{'Residential': 1.0},PM2.5 - Local Conditions,[  46.31932  -119.999677],0.0121
"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}",PM2.5 - Local Conditions,[  46.598056 -120.499167],0.005298235500000001
"{'Commercial and Services': 0.3672316384180791, 'Residential': 0.06779661016949153, 'Cropland and pasture': 0.5649717514124294}",PM2.5 - Local Conditions,[  46.38024 -120.33266],0.004865204000000001
{'Evergreen forest land': 1.0},PM2.5 - combined,[  48.006295 -122.973953],0.007783669000000001
{'Evergreen forest land': 1.0},PM2.5 - combined,[  48.29786 -124.62491],0.016990486000000003
"{'Commercial and Services': 0.3918918918918919, 'Residential': 0.12162162162162163, 'Transportation, communications and services': 0.4864864864864865}",PM2.5 - combined,[  47.597222 -122.319722],0.0016128480000000003
"{'Commercial and Services': 0.051194539249146756, 'Residential': 0.3412969283276451, 'Other urban or built-up land': 0.21843003412969283, 'Reservoirs': 0.04778156996587031, 'Transportation, communications and services': 0.3412969283276451}",PM2.5 - combined,[  47.568236 -122.308628],0.003907459
{'Evergreen forest land': 1.0},PM2.5 - combined,[  47.399815 -121.427096],0.022418109999999998
{'Herbaceous Rangeland': 1.0},PM2.5 - combined,[  45.666204 -121.000708],0.002949782
{'Evergreen forest land': 1.0},PM2.5 - combined,[  46.624184 -121.388064],0.02595312
{'Evergreen forest land': 1.0},PM2.5 - combined,[  48.387531 -119.928671],0.026211432
"{'Commercial and Services': 0.08181818181818182, 'Residential': 0.9090909090909091, 'Mixed urban or built-up land': 0.00909090909090909}",PM2.5 - combined,[  47.1864 -122.4517],0.003075706
"{'Mixed forest land': 0.83, 'Evergreen forest land': 0.17}",PM2.5 - combined,[  46.75838 -122.12429],0.00284969
{'Evergreen forest land': 1.0},PM2.5 - combined,[  48.73142  -121.065815],0.00223291
"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}",PM2.5 - combined,[  46.598056 -120.499167],0.002194266
