State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
53,77,5,11203,1,46.31932,-119.999677,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8129,93,Y,338,366,0,655,,,Certification not required,0,0.157363,0.186952,3.0,2016-08-01 01:00,2.8,2016-08-01 02:00,2.7,2016-07-31 20:00,2.7,2016-07-31 21:00,,,,,0.9,0.7,0.5,0.3,0.2,0.1,0.0,Sunnyside-S16th St (Harrison Middle School),810 16thSt (Harrison Middle School),Washington,Yakima,Sunnyside,"Yakima, WA",2017-02-27,[  46.31932  -119.999677],{'Residential': 1.0}
53,77,5,68105,1,46.31932,-119.999677,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2016,Degrees Centigrade,No Events,20,65,N,20,31,0,10,,,Certification not required,0,2.75,4.964347,12.3,2016-02-15 00:00,8.9,2016-02-27 00:00,7.9,2016-02-18 00:00,6.7,2016-03-01 00:00,,,,,12.3,12.3,12.3,8.9,6.6,2.9,-0.4,Sunnyside-S16th St (Harrison Middle School),810 16thSt (Harrison Middle School),Washington,Yakima,Sunnyside,"Yakima, WA",2017-05-25,[  46.31932  -119.999677],{'Residential': 1.0}
53,77,5,68108,1,46.31932,-119.999677,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2016,Millimeters (mercury),No Events,21,68,N,21,31,0,10,,,Certification not required,0,745.0,6.760178,759.0,2016-01-01 00:00,753.0,2016-02-09 00:00,752.0,2016-01-10 00:00,752.0,2016-02-06 00:00,,,,,759.0,759.0,753.0,752.0,750.0,744.0,739.0,Sunnyside-S16th St (Harrison Middle School),810 16thSt (Harrison Middle School),Washington,Yakima,Sunnyside,"Yakima, WA",2017-05-25,[  46.31932  -119.999677],{'Residential': 1.0}
53,77,5,88101,1,46.31932,-119.999677,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2016,Micrograms/cubic meter (LC),No Events,21,17,N,21,122,0,10,0.0,0.0,Was Certified but data changed,0,12.142857,6.440308,26.1,2016-01-07 00:00,21.7,2016-02-12 00:00,19.9,2016-01-28 00:00,18.3,2016-01-04 00:00,,,,,26.1,26.1,21.7,19.9,15.7,12.2,5.0,Sunnyside-S16th St (Harrison Middle School),810 16thSt (Harrison Middle School),Washington,Yakima,Sunnyside,"Yakima, WA",2017-05-25,[  46.31932  -119.999677],{'Residential': 1.0}
53,77,5,88101,1,46.31932,-119.999677,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2016,Micrograms/cubic meter (LC),No Events,21,17,N,21,122,0,10,0.0,0.0,Was Certified but data changed,0,12.142857,6.440308,26.1,2016-01-07 00:00,21.7,2016-02-12 00:00,19.9,2016-01-28 00:00,18.3,2016-01-04 00:00,,,,,26.1,26.1,21.7,19.9,15.7,12.2,5.0,Sunnyside-S16th St (Harrison Middle School),810 16thSt (Harrison Middle School),Washington,Yakima,Sunnyside,"Yakima, WA",2017-05-25,[  46.31932  -119.999677],{'Residential': 1.0}
53,77,5,88101,1,46.31932,-119.999677,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2016,Micrograms/cubic meter (LC),No Events,21,17,N,21,122,0,10,,,Was Certified but data changed,0,12.142857,6.440308,26.1,2016-01-07 00:00,21.7,2016-02-12 00:00,19.9,2016-01-28 00:00,18.3,2016-01-04 00:00,,,,,26.1,26.1,21.7,19.9,15.7,12.2,5.0,Sunnyside-S16th St (Harrison Middle School),810 16thSt (Harrison Middle School),Washington,Yakima,Sunnyside,"Yakima, WA",2017-05-25,[  46.31932  -119.999677],{'Residential': 1.0}
53,77,5,88101,1,46.31932,-119.999677,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2016,Micrograms/cubic meter (LC),No Events,21,17,N,21,122,0,10,,,Was Certified but data changed,0,12.142857,6.440308,26.1,2016-01-07 00:00,21.7,2016-02-12 00:00,19.9,2016-01-28 00:00,18.3,2016-01-04 00:00,,,,,26.1,26.1,21.7,19.9,15.7,12.2,5.0,Sunnyside-S16th St (Harrison Middle School),810 16thSt (Harrison Middle School),Washington,Yakima,Sunnyside,"Yakima, WA",2017-05-25,[  46.31932  -119.999677],{'Residential': 1.0}
53,77,5,88502,4,46.31932,-119.999677,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,8119,92,Y,337,366,0,665,,,Certification not required,0,7.857445,6.829091,89.6,2016-08-01 01:00,84.5,2016-08-01 02:00,81.6,2016-08-01 03:00,81.5,2016-07-31 20:00,,,,,34.3,28.2,19.9,15.1,9.8,6.4,1.8,Sunnyside-S16th St (Harrison Middle School),810 16thSt (Harrison Middle School),Washington,Yakima,Sunnyside,"Yakima, WA",2017-02-27,[  46.31932  -119.999677],{'Residential': 1.0}
53,77,5,88502,4,46.31932,-119.999677,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,337,92,Y,337,366,0,0,,,Certification not required,0,7.809496,5.739755,41.3,2016-08-01 00:00,38.9,2016-01-06 00:00,35.7,2016-01-08 00:00,26.8,2016-02-12 00:00,,,,,26.8,25.7,19.5,14.5,9.5,6.8,2.3,Sunnyside-S16th St (Harrison Middle School),810 16thSt (Harrison Middle School),Washington,Yakima,Sunnyside,"Yakima, WA",2017-02-27,[  46.31932  -119.999677],{'Residential': 1.0}
53,77,9,68105,1,46.598056,-120.499167,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2016,Degrees Centigrade,No Events,116,100,Y,60,61,0,0,,,Certification not required,0,12.240517,9.179495,30.4,2016-07-29 00:00,28.7,2016-06-05 00:00,28.1,2016-07-26 00:00,27.7,2016-08-13 00:00,,,,,28.7,28.1,27.3,23.3,20.4,13.2,0.7,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,68108,1,46.598056,-120.499167,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2016,Millimeters (mercury),No Events,116,100,Y,60,61,0,0,,,Certification not required,0,739.387931,4.708497,754.0,2016-01-01 00:00,749.0,2016-12-17 00:00,748.0,2016-01-10 00:00,748.0,2016-02-06 00:00,,,,,749.0,748.0,747.0,745.0,743.0,739.0,734.0,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,68111,5,46.598056,-120.499167,WGS84,Sample Flow Rate CV - Teflon Filter,24 HOUR,,Observed Values,Met One SASS/SuperSASS Teflon - Sample Flow Rate CV,2016,Percent,No Events,26,43,N,26,61,0,0,,,Certification not required,0,0.846154,0.070602,1.0,2016-05-24 00:00,0.9,2016-03-07 00:00,0.9,2016-03-13 00:00,0.9,2016-03-25 00:00,,,,,1.0,1.0,0.9,0.9,0.9,0.9,0.8,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,68112,5,46.598056,-120.499167,WGS84,Sample Flow Rate CV - Nylon Filter,24 HOUR,,Observed Values,MetOne SASS/SuperSASS Nylon - Sample Flow Rate CV,2016,Percent,No Events,26,43,N,26,61,0,0,,,Certification not required,0,0.792308,0.062757,0.9,2016-03-07 00:00,0.9,2016-04-12 00:00,0.9,2016-04-24 00:00,0.9,2016-07-17 00:00,,,,,0.9,0.9,0.9,0.9,0.8,0.8,0.7,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,68113,5,46.598056,-120.499167,WGS84,Sample Flow Rate CV - Quartz Filter,24 HOUR,,Observed Values,URG3000N - Sample Flow Rate CV,2016,Percent,No Events,24,39,N,24,61,0,2,,,Certification not required,0,0.829167,0.29559,1.4,2016-07-11 00:00,1.4,2016-07-23 00:00,1.2,2016-07-05 00:00,1.1,2016-07-17 00:00,,,,,1.4,1.4,1.4,1.2,1.0,0.9,0.4,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,68114,5,46.598056,-120.499167,WGS84,Sample Volume - Teflon Filter,24 HOUR,,Observed Values,MetOne SASS/SuperSASS Teflon - Sample Volume,2016,Cubic meter,No Events,26,43,N,26,61,0,0,,,Certification not required,0,9.7,0.0,9.7,2016-03-01 00:00,9.7,2016-03-07 00:00,9.7,2016-03-13 00:00,9.7,2016-03-19 00:00,,,,,9.7,9.7,9.7,9.7,9.7,9.7,9.7,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,68115,5,46.598056,-120.499167,WGS84,Sample Volume - Nylon Filter,24 HOUR,,Observed Values,MetOne SASS/SuperSASS Nylon - Sample Volume,2016,Cubic meter,No Events,26,43,N,26,61,0,0,,,Certification not required,0,9.7,0.0,9.7,2016-03-01 00:00,9.7,2016-03-07 00:00,9.7,2016-03-13 00:00,9.7,2016-03-19 00:00,,,,,9.7,9.7,9.7,9.7,9.7,9.7,9.7,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,68116,5,46.598056,-120.499167,WGS84,Sample Volume - Quartz Filter,24 HOUR,,Observed Values,URG3000N - Sample Volume,2016,Cubic meter,No Events,24,39,N,24,61,0,2,,,Certification not required,0,31.5,0.452048,31.8,2016-06-29 00:00,31.8,2016-07-05 00:00,31.7,2016-03-01 00:00,31.7,2016-03-07 00:00,,,,,31.8,31.8,31.8,31.7,31.7,31.7,31.1,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,68117,5,46.598056,-120.499167,WGS84,Average Ambient Temperature for URG3000N,24 HOUR,,Observed Values,URG 3000N - Electronic,2016,Degrees Centigrade,No Events,24,39,N,24,61,0,2,,,Certification not required,0,18.391667,5.864997,30.0,2016-06-29 00:00,24.9,2016-07-23 00:00,23.8,2016-07-17 00:00,23.1,2016-07-11 00:00,,,,,30.0,30.0,24.9,23.8,23.0,19.6,10.2,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,68118,5,46.598056,-120.499167,WGS84,Average Ambient Pressure for URG3000N,24 HOUR,,Observed Values,URG 3000N - Barometric Sensor,2016,Millimeters (mercury),No Events,24,39,N,24,61,0,2,,,Certification not required,0,732.041667,3.906284,740.0,2016-04-06 00:00,737.0,2016-04-30 00:00,736.0,2016-04-18 00:00,736.0,2016-05-30 00:00,,,,,740.0,740.0,737.0,736.0,735.0,732.0,729.0,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,81102,3,46.598056,-120.499167,WGS84,PM10 Total 0-10um STP,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2016,Micrograms/cubic meter (25 C),No Events,8707,99,Y,363,366,0,74,,,Certified,0,16.49776,11.832551,145.0,2016-08-19 01:00,120.0,2016-08-19 00:00,113.0,2016-08-18 23:00,110.0,2016-08-19 03:00,,,,,57.0,49.0,39.0,31.0,22.0,14.0,5.0,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,81102,3,46.598056,-120.499167,WGS84,PM10 Total 0-10um STP,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2016,Micrograms/cubic meter (25 C),No Events,363,99,Y,363,366,0,0,0.0,0.0,Certified,0,16.013774,7.5159,50.0,2016-08-19 00:00,46.0,2016-02-10 00:00,45.0,2016-12-19 00:00,42.0,2016-02-01 00:00,,,,,42.0,35.0,30.0,26.0,20.0,15.0,8.0,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88101,1,46.598056,-120.499167,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,0,1.0,1.0,Certified,0,8.675862,7.745401,49.6,2016-01-07 00:00,30.9,2016-01-04 00:00,29.1,2016-12-17 00:00,26.6,2016-11-11 00:00,,,,,30.9,29.1,23.7,19.2,12.0,6.0,2.3,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88101,1,46.598056,-120.499167,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,0,1.0,1.0,Certified,0,8.675862,7.745401,49.6,2016-01-07 00:00,30.9,2016-01-04 00:00,29.1,2016-12-17 00:00,26.6,2016-11-11 00:00,,,,,30.9,29.1,23.7,19.2,12.0,6.0,2.3,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88101,1,46.598056,-120.499167,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,0,,,Certified,0,8.675862,7.745401,49.6,2016-01-07 00:00,30.9,2016-01-04 00:00,29.1,2016-12-17 00:00,26.6,2016-11-11 00:00,,,,,30.9,29.1,23.7,19.2,12.0,6.0,2.3,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88101,1,46.598056,-120.499167,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,0,,,Certified,0,8.675862,7.745401,49.6,2016-01-07 00:00,30.9,2016-01-04 00:00,29.1,2016-12-17 00:00,26.6,2016-11-11 00:00,,,,,30.9,29.1,23.7,19.2,12.0,6.0,2.3,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88101,5,46.598056,-120.499167,WGS84,PM2.5 - Local Conditions,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2016,Micrograms/cubic meter (LC),No Events,8389,96,Y,355,366,0,392,,,Certified,0,8.636786,9.321819,86.0,2016-01-06 13:00,85.0,2016-12-19 19:00,82.0,2016-12-19 20:00,81.0,2016-01-06 10:00,,,,,48.0,36.0,26.0,19.0,11.0,6.0,1.0,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88101,5,46.598056,-120.499167,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2016,Micrograms/cubic meter (LC),No Events,349,95,Y,349,366,0,0,5.0,5.0,Certified,0,8.604298,7.988732,63.9,2016-01-06 00:00,59.2,2016-12-19 00:00,53.5,2016-01-07 00:00,50.2,2016-01-05 00:00,,,,,50.2,30.6,20.9,17.7,10.3,6.2,2.7,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88101,5,46.598056,-120.499167,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2016,Micrograms/cubic meter (LC),No Events,349,95,Y,349,366,0,0,5.0,5.0,Certified,0,8.604298,7.988732,63.9,2016-01-06 00:00,59.2,2016-12-19 00:00,53.5,2016-01-07 00:00,50.2,2016-01-05 00:00,,,,,50.2,30.6,20.9,17.7,10.3,6.2,2.7,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88101,5,46.598056,-120.499167,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2016,Micrograms/cubic meter (LC),No Events,349,95,Y,349,366,0,0,,,Certified,0,8.604298,7.988732,63.9,2016-01-06 00:00,59.2,2016-12-19 00:00,53.5,2016-01-07 00:00,50.2,2016-01-05 00:00,,,,,50.2,30.6,20.9,17.7,10.3,6.2,2.7,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88101,5,46.598056,-120.499167,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2016,Micrograms/cubic meter (LC),No Events,349,95,Y,349,366,0,0,,,Certified,0,8.604298,7.988732,63.9,2016-01-06 00:00,59.2,2016-12-19 00:00,53.5,2016-01-07 00:00,50.2,2016-01-05 00:00,,,,,50.2,30.6,20.9,17.7,10.3,6.2,2.7,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-02-27,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88102,5,46.598056,-120.499167,WGS84,Antimony PM2.5 LC,24 HOUR,,Observed Values,Met One SASS Teflon - Energy dispersive XRF,2016,Micrograms/cubic meter (LC),No Events,36,59,N,36,61,0,0,,,Certification not required,0,0.002444,0.018683,0.05,2016-05-18 00:00,0.045,2016-03-13 00:00,0.042,2016-04-12 00:00,0.029,2016-07-23 00:00,,,,,0.05,0.05,0.045,0.029,0.011,-0.001,-0.019,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88103,5,46.598056,-120.499167,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,Met OneSASS Teflon - Energy dispersive XRF,2016,Micrograms/cubic meter (LC),No Events,36,59,N,36,61,0,0,,,Certification not required,0,0.000639,0.00171,0.007,2016-02-06 00:00,0.005,2016-01-07 00:00,0.005,2016-06-29 00:00,0.003,2016-02-24 00:00,,,,,0.007,0.007,0.005,0.003,0.0,0.0,0.0,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88104,5,46.598056,-120.499167,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,Met One SASS Teflon - Energy dispersive XRF,2016,Micrograms/cubic meter (LC),No Events,36,59,N,36,61,0,0,,,Certification not required,0,0.028056,0.038247,0.136,2016-04-18 00:00,0.128,2016-05-18 00:00,0.099,2016-06-05 00:00,0.09,2016-04-06 00:00,,,,,0.136,0.136,0.128,0.09,0.039,0.022,-0.015,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88107,5,46.598056,-120.499167,WGS84,Barium PM2.5 LC,24 HOUR,,Observed Values,Met One SASS Teflon - Energy dispersive XRF,2016,Micrograms/cubic meter (LC),No Events,36,59,N,36,61,0,0,,,Certification not required,0,0.010528,0.030741,0.072,2016-04-12 00:00,0.06,2016-03-13 00:00,0.055,2016-01-25 00:00,0.052,2016-03-07 00:00,,,,,0.072,0.072,0.06,0.052,0.038,0.011,-0.027,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88109,5,46.598056,-120.499167,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,Met One SASS Teflon - Energy dispersive XRF,2016,Micrograms/cubic meter (LC),No Events,36,59,N,36,61,0,0,,,Certification not required,0,0.000889,0.001769,0.006,2016-02-12 00:00,0.005,2016-06-29 00:00,0.004,2016-05-12 00:00,0.003,2016-01-13 00:00,,,,,0.006,0.006,0.005,0.003,0.002,0.001,-0.001,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88110,5,46.598056,-120.499167,WGS84,Cadmium PM2.5 LC,24 HOUR,,Observed Values,Met One SASS Teflon - Energy dispersive XRF,2016,Micrograms/cubic meter (LC),No Events,36,59,N,36,61,0,0,,,Certification not required,0,0.001944,0.006603,0.02,2016-06-11 00:00,0.014,2016-01-13 00:00,0.014,2016-04-18 00:00,0.009,2016-03-31 00:00,,,,,0.02,0.02,0.014,0.009,0.007,0.001,-0.006,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88111,5,46.598056,-120.499167,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,Met One SASS Teflon - Energy dispersive XRF,2016,Micrograms/cubic meter (LC),No Events,36,59,N,36,61,0,0,,,Certification not required,0,0.037417,0.028193,0.128,2016-04-06 00:00,0.122,2016-05-18 00:00,0.068,2016-04-18 00:00,0.068,2016-04-30 00:00,,,,,0.128,0.128,0.122,0.068,0.054,0.035,0.01,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88112,5,46.598056,-120.499167,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,Met One SASS Teflon - Energy dispersive XRF,2016,Micrograms/cubic meter (LC),No Events,36,59,N,36,61,0,0,,,Certification not required,0,2.8e-05,0.001298,0.003,2016-06-17 00:00,0.002,2016-06-29 00:00,0.002,2016-07-23 00:00,0.002,2016-07-29 00:00,,,,,0.003,0.003,0.002,0.002,0.001,0.0,-0.001,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
53,77,9,88113,5,46.598056,-120.499167,WGS84,Cobalt PM2.5 LC,24 HOUR,,Observed Values,Met One SASS Teflon - Energy Dispersive XRF,2016,Micrograms/cubic meter (LC),No Events,36,59,N,36,61,0,0,,,Certification not required,0,-2.8e-05,0.00132,0.002,2016-01-01 00:00,0.002,2016-02-24 00:00,0.002,2016-03-01 00:00,0.002,2016-04-24 00:00,,,,,0.002,0.002,0.002,0.002,0.001,0.0,-0.002,YAKIMA - 4TH AVE,402 SOUTH 4TH AVE,Washington,Yakima,Yakima,"Yakima, WA",2017-05-17,[  46.598056 -120.499167],"{'Commercial and Services': 0.3, 'Residential': 0.66, 'Mixed urban or built-up land': 0.04}"
