State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,7,3,42101,1,39.923042,-75.097617,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7240,82,Y,270,366,0,0,0.0,0.0,Certification not required,0,1.011768,0.862436,14.8,1980-07-23 19:00,10.7,1980-10-05 19:00,9.9,1980-10-16 06:00,9.7,1980-10-16 07:00,,,,,4.7,3.4,2.4,1.8,1.2,0.8,0.3,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,42101,1,39.923042,-75.097617,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7021,80,Y,257,366,0,0,0.0,0.0,Certification not required,0,1.008774,0.649446,5.7,1980-09-28 03:00,5.7,1980-09-28 04:00,5.5,1980-09-28 02:00,5.3,1980-09-28 05:00,5.7,1980-09-28 03:00,5.3,1980-10-11 21:00,3.8,3.1,2.2,1.7,1.2,0.8,0.4,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,42401,2,39.923042,-75.097617,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6249,71,N,231,366,0,0,25.0,,Certification not required,0,38.225108,25.737833,168.0,1980-12-27 15:00,120.0,1980-12-28 11:00,118.0,1980-03-04 05:00,115.0,1980-12-29 07:00,,,,,118.0,114.0,82.0,71.0,52.0,32.0,11.0,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,42401,2,39.923042,-75.097617,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6249,71,N,231,366,0,0,,,Certification not required,0,15.950552,15.933841,168.0,1980-12-27 15:00,155.0,1980-12-27 16:00,131.0,1980-12-27 17:00,129.0,1980-12-27 13:00,,,,,75.0,63.0,48.0,35.0,21.0,11.0,2.0,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,42401,2,39.923042,-75.097617,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,231,63,N,231,366,0,0,0.0,,Certification not required,0,15.839827,11.819533,82.3,1980-12-28 00:00,80.3,1980-12-27 00:00,51.3,1980-12-29 00:00,48.6,1980-01-25 00:00,,,,,51.3,45.4,35.2,30.7,20.8,13.8,3.8,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,42401,2,39.923042,-75.097617,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1963,67,N,218,366,0,0,,0.0,Certification not required,0,15.819205,14.861928,151.3,1980-12-27 17:00,116.0,1980-12-27 14:00,111.3,1980-12-29 08:00,98.3,1980-12-28 14:00,,,,,70.6,59.6,44.6,34.3,21.0,11.6,2.0,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,42602,2,39.923042,-75.097617,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7288,83,N,271,366,0,0,3.0,,Certification not required,0,49.114391,16.151763,137.0,1980-10-08 08:00,124.0,1980-09-12 08:00,110.0,1980-09-14 20:00,95.0,1980-12-23 20:00,,,,,110.0,90.0,81.0,69.0,55.0,47.0,32.0,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-05-16,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,42602,2,39.923042,-75.097617,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7288,83,Y,271,366,0,0,,,Certification not required,0,29.539243,13.679108,137.0,1980-10-08 08:00,124.0,1980-09-12 08:00,121.0,1980-09-12 07:00,110.0,1980-09-14 20:00,,,,,70.0,63.0,54.0,47.0,38.0,28.0,14.0,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-05-16,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,42603,2,39.923042,-75.097617,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,1899,22,N,68,366,0,0,,,Certification not required,0,39.391259,31.119982,302.0,1980-07-25 01:00,298.0,1980-07-25 00:00,297.0,1980-09-12 07:00,272.0,1980-07-24 23:00,,,,,177.0,136.0,93.0,69.0,45.0,30.0,17.0,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2011-01-15,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,44201,1,39.923042,-75.097617,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7167,85,Y,181,214,0,0,16.0,16.0,Certification not required,0,0.072773,0.034848,0.175,1980-07-21 12:00,0.166,1980-08-26 14:00,0.164,1980-08-07 13:00,0.161,1980-08-01 12:00,,,,,0.166,0.161,0.136,0.12,0.096,0.068,0.039,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-08-18,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
34,7,3,44201,1,39.923042,-75.097617,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,6963,76,Y,163,214,0,0,37.0,37.0,Certification not required,0,0.060914,0.029,0.142,1980-07-21 10:00,0.142,1980-08-26 11:00,0.126,1980-08-02 10:00,0.126,1980-08-07 11:00,,,,,0.142,0.126,0.109,0.104,0.082,0.058,0.032,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-08-18,[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}"
