image,display_location,observation_location,estimated,latitude,longitude,observation_time_rfc822,observation_epoch,local_time_rfc822,local_epoch,local_tz_short,local_tz_long,local_tz_offset,weather,temperature_string,temp_f,temp_c,relative_humidity,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,wind_kph,wind_gust_kph,pressure_mb,pressure_in,pressure_trend,dewpoint_string,dewpoint_f,dewpoint_c,heat_index_string,heat_index_f,heat_index_c,windchill_string,windchill_f,windchill_c,feelslike_string,feelslike_f,feelslike_c,visibility_mi,visibility_km,solarradiation,UV,precip_1hr_string,precip_1hr_in,precip_1hr_metric,precip_today_string,precip_today_in,precip_today_metric,icon,icon_url,forecast_url,history_url,ob_url,nowcast
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 10:59:53 -0400",1499439593,"Fri, 07 Jul 2017 10:59:54 -0400",1499439594,EDT,America/New_York,-0400,Overcast,73.0 F (22.8 C),73.0,22.8,73%,Calm,SE,135,0.0,0,0,0,1011,29.86,-,64 F (18 C),64,18,NA,NA,NA,NA,NA,NA,73.0 F (22.8 C),73.0,22.8,10.0,16.1,--,3,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 11:59:45 -0400",1499443185,"Fri, 07 Jul 2017 11:59:53 -0400",1499443193,EDT,America/New_York,-0400,Rain,70.0 F (21.1 C),70.0,21.1,84%,Calm,ENE,67,0.0,0,0,0,1011,29.86,0,65 F (18 C),65,18,NA,NA,NA,NA,NA,NA,70.0 F (21.1 C),70.0,21.1,3.0,4.8,--,3,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 12:59:47 -0400",1499446787,"Fri, 07 Jul 2017 12:59:52 -0400",1499446792,EDT,America/New_York,-0400,Rain,67.0 F (19.4 C),67.0,19.4,91%,From the NNE at 3.0 MPH Gusting to 3.0 MPH,NNE,22,3.0,3.0,4.8,4.8,1010,29.83,0,64 F (18 C),64,18,NA,NA,NA,NA,NA,NA,67.0 F (19.4 C),67.0,19.4,0.5,0.8,--,4,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 13:59:49 -0400",1499450389,"Fri, 07 Jul 2017 13:59:54 -0400",1499450394,EDT,America/New_York,-0400,Rain,67.0 F (19.4 C),67.0,19.4,95%,Calm,ENE,67,0.0,4.0,0,6.4,1010,29.82,0,66 F (19 C),66,19,NA,NA,NA,NA,NA,NA,67.0 F (19.4 C),67.0,19.4,4.0,6.4,--,3,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 14:59:52 -0400",1499453992,"Fri, 07 Jul 2017 14:59:53 -0400",1499453993,EDT,America/New_York,-0400,Rain,64.0 F (17.8 C),64.0,17.8,95%,From the North at 4.0 MPH Gusting to 5.0 MPH,North,360,4.0,5.0,6.4,8.0,1009,29.79,-,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,64.0 F (17.8 C),64.0,17.8,4.0,6.4,--,3,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 15:59:49 -0400",1499457589,"Fri, 07 Jul 2017 15:59:54 -0400",1499457594,EDT,America/New_York,-0400,Rain,63.0 F (17.2 C),63.0,17.2,95%,Calm,NNE,22,0.0,4.0,0,6.4,1008,29.77,-,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,63.0 F (17.2 C),63.0,17.2,8.0,12.9,--,2,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 16:59:45 -0400",1499461185,"Fri, 07 Jul 2017 16:59:54 -0400",1499461194,EDT,America/New_York,-0400,Rain,62.0 F (16.7 C),62.0,16.7,96%,From the NNE at 3.0 MPH Gusting to 3.0 MPH,NNE,22,3.0,3.0,4.8,4.8,1006,29.72,-,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,62.0 F (16.7 C),62.0,16.7,2.5,4.0,--,1,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 17:59:41 -0400",1499464781,"Fri, 07 Jul 2017 17:59:53 -0400",1499464793,EDT,America/New_York,-0400,Overcast,63.0 F (17.2 C),63.0,17.2,96%,From the North at 2.0 MPH Gusting to 5.0 MPH,North,360,2.0,5.0,3.2,8.0,1006,29.72,-,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,63.0 F (17.2 C),63.0,17.2,7.0,11.3,--,1,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 18:59:50 -0400",1499468390,"Fri, 07 Jul 2017 18:59:52 -0400",1499468392,EDT,America/New_York,-0400,Overcast,63.0 F (17.2 C),63.0,17.2,97%,Calm,NNE,22,0.0,5.0,0,8.0,1006,29.72,-,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,63.0 F (17.2 C),63.0,17.2,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 19:59:49 -0400",1499471989,"Fri, 07 Jul 2017 19:59:55 -0400",1499471995,EDT,America/New_York,-0400,Overcast,63.0 F (17.2 C),63.0,17.2,97%,Calm,WNW,292,0.0,2.0,0,3.2,1006,29.72,0,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,63.0 F (17.2 C),63.0,17.2,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 20:59:43 -0400",1499475583,"Fri, 07 Jul 2017 20:59:53 -0400",1499475593,EDT,America/New_York,-0400,Overcast,62.0 F (16.7 C),62.0,16.7,97%,Calm,WSW,247,0.0,1.0,0,1.6,1006,29.72,0,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,62.0 F (16.7 C),62.0,16.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 21:59:49 -0400",1499479189,"Fri, 07 Jul 2017 21:59:53 -0400",1499479193,EDT,America/New_York,-0400,Overcast,62.0 F (16.7 C),62.0,16.7,97%,Calm,SW,225,0.0,2.0,0,3.2,1007,29.73,+,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,62.0 F (16.7 C),62.0,16.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 22:59:45 -0400",1499482785,"Fri, 07 Jul 2017 22:59:52 -0400",1499482792,EDT,America/New_York,-0400,Mostly Cloudy,62.0 F (16.7 C),62.0,16.7,97%,Calm,SW,225,0.0,0,0,0,1007,29.73,0,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,62.0 F (16.7 C),62.0,16.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,mostlycloudy,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Fri, 07 Jul 2017 23:59:48 -0400",1499486388,"Fri, 07 Jul 2017 23:59:52 -0400",1499486392,EDT,America/New_York,-0400,Mostly Cloudy,61.0 F (16.1 C),61.0,16.1,98%,Calm,SW,225,0.0,2.0,0,3.2,1007,29.73,0,60 F (16 C),60,16,NA,NA,NA,NA,NA,NA,61.0 F (16.1 C),61.0,16.1,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,mostlycloudy,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Sat, 08 Jul 2017 00:59:39 -0400",1499489979,"Sat, 08 Jul 2017 00:59:52 -0400",1499489992,EDT,America/New_York,-0400,Mostly Cloudy,62.0 F (16.7 C),62.0,16.7,98%,Calm,SW,225,0.0,0,0,0,1007,29.73,0,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,62.0 F (16.7 C),62.0,16.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,mostlycloudy,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Sat, 08 Jul 2017 01:59:48 -0400",1499493588,"Sat, 08 Jul 2017 01:59:52 -0400",1499493592,EDT,America/New_York,-0400,Overcast,62.0 F (16.7 C),62.0,16.7,98%,Calm,SW,225,0.0,0,0,0,1006,29.72,-,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,62.0 F (16.7 C),62.0,16.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Sat, 08 Jul 2017 02:59:49 -0400",1499497189,"Sat, 08 Jul 2017 02:59:53 -0400",1499497193,EDT,America/New_York,-0400,Partly Cloudy,62.0 F (16.7 C),62.0,16.7,98%,Calm,SW,225,0.0,2.0,0,3.2,1006,29.73,0,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,62.0 F (16.7 C),62.0,16.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,partlycloudy,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Sat, 08 Jul 2017 03:59:51 -0400",1499500791,"Sat, 08 Jul 2017 03:59:53 -0400",1499500793,EDT,America/New_York,-0400,Mostly Cloudy,62.0 F (16.7 C),62.0,16.7,99%,Calm,SW,225,0.0,0,0,0,1006,29.72,-,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,62.0 F (16.7 C),62.0,16.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,mostlycloudy,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Brookline, MA', 'city': 'Brookline', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02445', 'magic': '1', 'wmo': '99999', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '49.1'}","{'full': 'Fisher Hill, Brookline, Massachusetts', 'city': 'Fisher Hill, Brookline', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.332382', 'longitude': '-71.138641', 'elevation': '177 ft'}",{},42.332382,-71.138641,"Sat, 08 Jul 2017 04:59:50 -0400",1499504390,"Sat, 08 Jul 2017 04:59:52 -0400",1499504392,EDT,America/New_York,-0400,Mostly Cloudy,62.0 F (16.7 C),62.0,16.7,99%,Calm,SW,225,0.0,0,0,0,1006,29.71,-,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,62.0 F (16.7 C),62.0,16.7,9.0,14.5,--,0,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,mostlycloudy,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif,http://www.wunderground.com/US/MA/Brookline.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABROOK7,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.332382,-71.138641",
