State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,95,16,11101,1,40.740283,-75.310722,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,75.606557,32.56802,163.0,1980-03-04 00:00,141.0,1980-01-22 00:00,130.0,1980-11-23 00:00,130.0,1980-12-23 00:00,,,,,163.0,141.0,130.0,122.0,102.0,65.0,38.0,,30 BELVIDERE STREET,Pennsylvania,Northampton,Nazareth,"Allentown-Bethlehem-Easton, PA-NJ",2010-04-25,[ 40.740283 -75.310722],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.4, 'Cropland and pasture': 0.4166666666666667, 'Strip mines, quarries and gravel pits': 0.016666666666666666}"
42,95,16,12403,2,40.740283,-75.310722,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,N,51,61,0,0,,,Certification not required,0,12.970588,4.793466,32.1,1980-08-01 00:00,23.7,1980-09-30 00:00,23.1,1980-07-20 00:00,19.0,1980-07-02 00:00,,,,,32.1,23.7,23.1,17.4,15.2,12.2,8.4,,30 BELVIDERE STREET,Pennsylvania,Northampton,Nazareth,"Allentown-Bethlehem-Easton, PA-NJ",2010-04-25,[ 40.740283 -75.310722],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.4, 'Cropland and pasture': 0.4166666666666667, 'Strip mines, quarries and gravel pits': 0.016666666666666666}"
42,95,17,11101,1,40.620278,-75.363333,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,65.101695,21.774467,111.0,1980-06-26 00:00,108.0,1980-08-01 00:00,105.0,1980-05-27 00:00,99.0,1980-07-20 00:00,,,,,111.0,108.0,105.0,96.0,81.0,63.0,34.0,A420950017LAT/LONG POINT IS OF SAMPLING INLET,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",2010-04-25,[ 40.620278 -75.363333],"{'Residential': 0.27, 'Industrial': 0.14, 'Other urban or built-up land': 0.59}"
42,95,17,11201,1,40.620278,-75.363333,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,7512,86,Y,310,366,0,0,,,Certification not required,0,0.296219,0.261885,9.5,1980-05-30 09:00,2.2,1980-02-19 08:00,2.2,1980-02-19 09:00,2.2,1980-02-20 00:00,,,,,1.2,1.0,0.7,0.6,0.4,0.2,0.1,A420950017LAT/LONG POINT IS OF SAMPLING INLET,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",2016-03-09,[ 40.620278 -75.363333],"{'Residential': 0.27, 'Industrial': 0.14, 'Other urban or built-up land': 0.59}"
42,95,17,12128,1,40.620278,-75.363333,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,49,80,N,49,61,0,0,,,Certification not required,0,0.295102,0.149612,0.7,1980-10-06 00:00,0.65,1980-01-10 00:00,0.63,1980-01-22 00:00,0.61,1980-01-16 00:00,,,,,0.7,0.7,0.63,0.54,0.36,0.26,0.13,A420950017LAT/LONG POINT IS OF SAMPLING INLET,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",2013-06-29,[ 40.620278 -75.363333],"{'Residential': 0.27, 'Industrial': 0.14, 'Other urban or built-up land': 0.59}"
42,95,17,12403,2,40.620278,-75.363333,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,49,80,N,49,61,0,0,,,Certification not required,0,12.318367,5.329621,34.7,1980-08-01 00:00,29.7,1980-07-20 00:00,19.9,1980-07-26 00:00,18.2,1980-08-19 00:00,,,,,34.7,34.7,19.9,17.7,13.4,11.7,7.9,A420950017LAT/LONG POINT IS OF SAMPLING INLET,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",2010-04-25,[ 40.620278 -75.363333],"{'Residential': 0.27, 'Industrial': 0.14, 'Other urban or built-up land': 0.59}"
42,95,17,42101,2,40.620278,-75.363333,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,1022,12,N,43,366,0,0,0.0,0.0,Certification not required,0,4.228865,0.9065,8.3,1980-01-01 02:00,8.3,1980-01-04 20:00,8.2,1980-01-01 05:00,8.1,1980-01-01 00:00,,,,,7.5,6.3,5.4,5.0,4.6,4.2,3.7,A420950017LAT/LONG POINT IS OF SAMPLING INLET,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",2010-04-25,[ 40.620278 -75.363333],"{'Residential': 0.27, 'Industrial': 0.14, 'Other urban or built-up land': 0.59}"
42,95,17,42101,2,40.620278,-75.363333,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,1037,12,Y,42,366,0,0,0.0,0.0,Certification not required,0,4.232498,0.827481,8.0,1980-01-01 05:00,7.8,1980-01-01 06:00,7.5,1980-01-01 07:00,7.2,1980-01-02 00:00,8.0,1980-01-01 05:00,7.2,1980-01-02 00:00,6.5,5.8,5.3,5.0,4.6,4.2,3.7,A420950017LAT/LONG POINT IS OF SAMPLING INLET,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",2010-04-25,[ 40.620278 -75.363333],"{'Residential': 0.27, 'Industrial': 0.14, 'Other urban or built-up land': 0.59}"
42,95,17,42401,1,40.620278,-75.363333,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7236,82,N,292,366,0,0,21.0,,Certification not required,0,36.017123,23.281994,154.0,1980-12-16 14:00,129.0,1980-02-20 03:00,114.0,1980-12-27 14:00,113.0,1980-02-21 02:00,,,,,114.0,100.0,81.0,65.0,47.0,31.0,12.0,A420950017LAT/LONG POINT IS OF SAMPLING INLET,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",2013-02-16,[ 40.620278 -75.363333],"{'Residential': 0.27, 'Industrial': 0.14, 'Other urban or built-up land': 0.59}"
42,95,17,42401,1,40.620278,-75.363333,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7236,82,N,292,366,0,0,,,Certification not required,0,14.936429,15.039661,154.0,1980-12-16 14:00,150.0,1980-02-19 02:00,138.0,1980-02-19 08:00,136.0,1980-02-19 09:00,,,,,74.0,60.0,45.0,33.0,20.0,10.0,2.0,A420950017LAT/LONG POINT IS OF SAMPLING INLET,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",2013-02-16,[ 40.620278 -75.363333],"{'Residential': 0.27, 'Industrial': 0.14, 'Other urban or built-up land': 0.59}"
42,95,17,42401,1,40.620278,-75.363333,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,292,80,N,292,366,0,0,0.0,,Certification not required,0,15.007877,10.784979,77.0,1980-02-20 00:00,53.8,1980-12-27 00:00,52.5,1980-12-22 00:00,52.0,1980-12-24 00:00,,,,,52.5,47.1,37.6,28.5,19.6,12.3,5.0,A420950017LAT/LONG POINT IS OF SAMPLING INLET,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",2013-02-16,[ 40.620278 -75.363333],"{'Residential': 0.27, 'Industrial': 0.14, 'Other urban or built-up land': 0.59}"
